kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
b+tree-rodinia-3.8.sm_75.ptx 82 : 1536000 0 0 0 0 0 0 0 0 
b+tree-rodinia-3.8.sm_75.ptx 249 : 1536000 6067336 0 0 0 0 0 0 5826 
b+tree-rodinia-3.4.sm_75.ptx 160 : 2560000 471535968 64192 0 0 390336 80000 0 0 
b+tree-rodinia-3.8.sm_75.ptx 160 : 1536000 7247421 0 0 0 0 0 0 5898 
b+tree-rodinia-3.4.sm_75.ptx 81 : 2560000 15817152 0 0 0 0 0 0 0 
b+tree-rodinia-3.8.sm_75.ptx 81 : 1536000 9813376 0 0 0 0 0 0 0 
b+tree-rodinia-3.8.sm_75.ptx 248 : 1536000 9551200 0 0 0 0 0 0 0 
b+tree-rodinia-3.4.sm_75.ptx 159 : 2560000 24222624 0 0 0 0 0 0 0 
b+tree-rodinia-3.8.sm_75.ptx 159 : 1536000 9535392 0 0 0 0 0 0 0 
b+tree-rodinia-3.8.sm_75.ptx 80 : 1536000 9452736 0 0 0 0 0 0 0 
b+tree-rodinia-3.8.sm_75.ptx 247 : 1536000 277770304 14080 0 0 234760 48000 0 0 
b+tree-rodinia-3.8.sm_75.ptx 79 : 1536000 9898272 0 0 0 0 0 0 0 
b+tree-rodinia-3.8.sm_75.ptx 246 : 1536000 274643680 0 0 0 48000 48000 0 0 
b+tree-rodinia-3.8.sm_75.ptx 78 : 1536000 8841472 0 0 0 0 0 0 0 
b+tree-rodinia-3.8.sm_75.ptx 245 : 1536000 14221536 0 0 0 0 0 0 0 
b+tree-rodinia-3.8.sm_75.ptx 77 : 1536000 14287616 0 0 0 0 0 0 0 
b+tree-rodinia-3.8.sm_75.ptx 244 : 1536000 14220768 0 0 0 0 0 0 0 
b+tree-rodinia-3.8.sm_75.ptx 76 : 1536000 14409728 0 0 0 0 0 0 0 
b+tree-rodinia-3.8.sm_75.ptx 243 : 1536000 9402208 0 0 0 0 0 0 0 
b+tree-rodinia-3.8.sm_75.ptx 75 : 1536000 9690816 0 0 0 0 0 0 0 
b+tree-rodinia-3.8.sm_75.ptx 242 : 1536000 14188320 0 0 0 0 0 0 0 
b+tree-rodinia-3.8.sm_75.ptx 74 : 1536000 14390496 0 0 0 0 0 0 0 
b+tree-rodinia-3.8.sm_75.ptx 241 : 1536000 14144800 0 0 0 0 0 0 0 
b+tree-rodinia-3.8.sm_75.ptx 73 : 1536000 9664480 0 0 0 0 0 0 0 
b+tree-rodinia-3.8.sm_75.ptx 240 : 1536000 261263648 0 0 0 48000 48000 0 0 
b+tree-rodinia-3.8.sm_75.ptx 72 : 1536000 9716096 0 0 0 0 0 0 0 
b+tree-rodinia-3.8.sm_75.ptx 71 : 1536000 9770464 0 0 0 0 0 0 0 
b+tree-rodinia-3.4.sm_75.ptx 49 : 2560000 23383776 0 0 0 0 0 0 0 
b+tree-rodinia-3.8.sm_75.ptx 49 : 1536000 14265344 0 0 0 0 0 0 0 
b+tree-rodinia-3.4.sm_75.ptx 216 : 2560000 15540000 0 0 0 0 0 0 0 
b+tree-rodinia-3.8.sm_75.ptx 553 : 6000 55053 0 0 0 0 0 0 0 
b+tree-rodinia-3.8.sm_75.ptx 216 : 1536000 14259168 0 0 0 0 0 0 0 
b+tree-rodinia-3.4.sm_75.ptx 385 : 10000 104367 0 0 0 10000 10000 0 0 
b+tree-rodinia-3.4.sm_75.ptx 48 : 2560000 23518560 0 0 0 0 0 0 0 
b+tree-rodinia-3.8.sm_75.ptx 48 : 1536000 14036032 0 0 0 0 0 0 0 
b+tree-rodinia-3.4.sm_75.ptx 215 : 2560000 15585952 0 0 0 0 0 0 0 
b+tree-rodinia-3.8.sm_75.ptx 552 : 6000 1070490 19520 0 0 6000 6000 0 0 
b+tree-rodinia-3.8.sm_75.ptx 215 : 1536000 14424608 0 0 0 0 0 0 0 
b+tree-rodinia-3.4.sm_75.ptx 384 : 10000 91685 0 0 0 0 0 0 0 
