kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
histogram.6.sm_75.ptx 377 : 279680 2767552 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 376 : 279680 2782944 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 375 : 279680 1932192 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 374 : 279680 2608800 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 373 : 279680 2741376 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 197 : 279680 2660288 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 196 : 279680 1856416 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 194 : 279680 0 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 193 : 279680 1871936 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 192 : 279680 1619008 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 189 : 4194304 22412896 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 188 : 4194304 28457536 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 187 : 4194304 41170592 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 186 : 4194304 151108576 0 262143 131072 0 0 0 0 
histogram.6.sm_75.ptx 185 : 4194304 40737024 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 184 : 4194304 257068832 0 262143 131072 0 0 0 0 
histogram.6.sm_75.ptx 183 : 4194304 40858848 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 182 : 4194304 40652224 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 181 : 4194304 28071328 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 180 : 4194304 29466880 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 179 : 4194304 149580640 0 262136 131072 0 0 0 0 
histogram.6.sm_75.ptx 178 : 4194304 40752736 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 177 : 4194304 257211264 0 262136 131072 0 0 0 0 
histogram.6.sm_75.ptx 176 : 4194304 40904608 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 175 : 4194304 40860064 0 0 0 0 0 0 0 
